,CaseID,CASEID_NEW,qflag,weight1,weight1_freqwt,weight2,weight1a,weight1a_freqwt,weight_combo,weight_combo_freqwt,duration,speed_flag,xlgb,S3,DOV_Branch,Past_Partner_Q1,w6_relationship_end_nonmar,w6_breakup_nonmar,w6_relationship_end_mar,w6_who_breakup,Q5_2,Q6A_2,Q9B_2,Q10_2,Q11_2,Q12_2,Q14_2,Q15A7_2_1,Q16_2,Q17B_2,Q17C_2,Q17D_2,Q20_2,Q21A_2_Year,Q21A_2_Month,Q21B_2_Year,Q21B_2_Month,Q21C_2_Year,Q21C_2_Month,Q21D_2_Year,Q21D_2_Month,Q21E_2_Year,Q21E_2_Month,Q21F_2_start_range,Q21F_2_Year,Q21F_2_Month,w6_identity_2,w6_outness_2,w6_outness_timing_2,Q23_2,Q25_2,Q26_2,Q27_2,Q28_2,w6_friend_connect_2_1,w6_friend_connect_2_2,w6_friend_connect_2_3,w6_friend_connect_2_4,w6_friend_connect_2_Refused,Q32_2,w6_otherdate_2,w6_how_many_2,w6_otherdate_app_2,w6_how_many_app_2,partyid7,PERSNET_hom,ppc10017,ppc21310,ppp20071,ppp20072,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,w6_took_the_survey,w6_prior_identity_lgb,w6_same_sex_couple,w6_same_sex_couple_gender,w6_q4,w6_q5,w6_q6a,w6_q6b,w6_q9,w6_q10,w6_q11,w6_q12,w6_q14,w6_q15a1_truncated,w6_q15a4_truncated,w6_q15a7,w6_q16,w6_q17,w6_attraction,w6_q19,w6_q20,w6_q21a_year,w6_q21a_month,w6_q21a_month_flag,w6_q21b_year,w6_q21b_month,w6_q21b_month_flag,w6_q21c_year,w6_q21c_month,w6_q21c_month_flag,w6_q21d_year,w6_q21d_month,w6_q21e_year,w6_q21e_month,w6_q21f_year,w6_q21f_month,w6_identity_all,w6_outness_all,w6_outness_timing_all,w6_q23,w6_q24_length,w6_q25,w6_q26,w6_q27,w6_q28,w6_friend_connect_1_all,w6_friend_connect_2_all,w6_friend_connect_3_all,w6_friend_connect_4_all,w6_q32,w6_q34,w6_otherdate_all,w6_how_many_all,w6_otherdate_app_all,w6_how_many_app_all,w6_number_people_met,w6_otherdate_dichotomous,w6_married,relate_duration_at_w6_years,w6_number_people_met_app,weight_combo_v2,partnership_status,female,year_fraction_met,year_fraction_relstart,age_when_met,time_from_met_to_rel,year_fraction_first_cohab,time_from_rel_to_cohab,hcm2017q24_R_cowork,hcm2017q24_R_friend,hcm2017q24_R_family,hcm2017q24_R_sig_other,hcm2017q24_R_neighbor,hcm2017q24_P_cowork,hcm2017q24_P_friend,hcm2017q24_P_family,hcm2017q24_P_sig_other,hcm2017q24_P_neighbor,hcm2017q24_btwn_I_cowork,hcm2017q24_btwn_I_friend,hcm2017q24_btwn_I_family,hcm2017q24_btwn_I_sig_other,hcm2017q24_btwn_I_neighbor,hcm2017q24_school,hcm2017q24_college,hcm2017q24_mil,hcm2017q24_church,hcm2017q24_vol_org,hcm2017q24_customer,hcm2017q24_bar_restaurant,hcm2017q24_party,hcm2017q24_internet_other,hcm2017q24_internet_dating,hcm2017q24_internet_soc_network,hcm2017q24_internet_game,hcm2017q24_internet_chat,hcm2017q24_internet_org,hcm2017q24_public,hcm2017q24_blind_date,hcm2017q24_vacation,hcm2017q24_single_serve_nonint,hcm2017q24_business_trip,hcm2017q24_work_neighbors,hcm2017q24_met_online,hcm2017_q24_length,hcm2017q24_summary_all_codes,hcm2017q24_met_through_family,hcm2017q24_met_through_friend,hcm2017q24_met_through_as_nghbrs,hcm2017q24_met_as_through_cowork,w6_subject_race,interracial_5cat,partner_mother_yrsed,subject_mother_yrsed,partner_yrsed,subject_yrsed
2434,2951,2905123,Qualified,0.8095,63414.0,,0.8049,63054.0,0.9101463,63173.0,9,Completed survey in over 2 minutes,gen pop,Yes,2,Yes,nan,nan,divorce,[Partner Name] wanted the [divorce/separation] more.,nan,No (Not Latino or Hispanic),1975.0,"Some college, no degree","Some college, no degree",Undecided/Independent/Other,HS graduate or GED,"I met [Partner Name] somewhere else , Please specify the Country, State, and city or town:",10.0,Once,nan,I am sexually attracted only to women,Yes,2006,March,2006,July,2009,May,2009,July,2014,May,Q21D_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,nan,No,No,No,No,No,Yes,No,"Yes, a different kind of Internet service","Yes, I have met at least one person for dating, romance, or sex in the past year.","Two to Five people. I met between two and five different people in the past year for dating, romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",nan,Undecided/Independent/Other,Yes,Yes,Not asked,No,Once a year or less,59,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"Less than $5,000",Divorced,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,42.0,"Some college, no degree","Some college, no degree",Undecided/Independent/Other,HS graduate or GED,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",10.0,1.0,sexually attracted only to opposite gender,nan,Yes,2006.0,March,no,2006.0,July,0.0,2009.0,May,,2009.0,July,2014.0,May,,nan,heterosexual or straight,nan,,I earned more,10.0,Different High School,,No,No,no,no,no,yes,"Yes, a different kind of Internet service",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",1.0,nan,3.5,yes,no,,0.0,0.8911976,"unpartnered, has had past partner",0,2006.2084,2006.5416,48.0,0.33325195,2009375,2.833374,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,10.0,1.0,no,no,no,no,White,no,13.0,12.0,13.0,12.0
2438,2956,1466691,Not Qualified,,,,1.2472,97703.0,1.4102801,97888.0,0,Completed survey in under 2 minutes,gen pop,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not asked,Not asked,Not asked,nan,nan,22,18-24,18-29,"Some college, no degree",Some college,"White, Non-Hispanic",Male,No,5,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,5,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"excluded b.c. never had a partner, S3==2",nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,,nan,nan,,nan,,,nan,,,nan,,nan,,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,1.380919,never had a partner,0,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,White,nan,,,,13.0
2452,2972,1272655,Qualified,1.2638,99003.0,,1.2565,98431.0,1.4207962,98618.0,24,Completed survey in over 2 minutes,gen pop,Yes,2,Yes,nan,nan,"[Partner Name] passed away, is deceased",nan,nan,No (Not Latino or Hispanic),1944.0,12th grade no diploma,9th grade,Strong Republican,7th or 8th grade,I met [Partner Name] in [answer in Q15A7_2],2.0,Once,I am sexually attracted only to men,nan,Yes,1973,May,1973,August,1973,December,1973,December,nan,nan,Q21D_2,2014,June,heterosexual or straight,nan,nan,I earned more,Different High School,nan,No,No,Yes,No,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Not Strong Republican,Yes,Yes,At least once a week but not every day,No,Once a week,64,55-64,60+,Associate degree,Some college,Hispanic,Female,Yes,1,A one-family house detached from any other house,"$75,000 to $84,999",Widowed,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,73.0,12th grade no diploma,9th grade,Strong Republican,7th or 8th grade,"Another country, please specify","Another country, please specify",I met [Partner Name] in [Answer in Q15A6],2.0,1.0,sexually attracted only to opposite gender,nan,Yes,1973.0,May,no,1973.0,August,0.0,1973.0,December,,1973.0,December,,nan,2014.0,June,heterosexual or straight,nan,,I earned more,627.0,Different High School,,No,No,yes,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.391216,"unpartnered, has had past partner",1,1973375,1973625,20.0,0.25,1973.9584,0.33337402,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,627.0,2.0,yes,yes,no,no,White,no,9.0,7.5,12.0,14.0
2458,2979,710045,Qualified,1.4529,113817.0,,1.4446,113166.0,1.6334915,113381.0,9,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,[Partner Name] wanted to break up more,nan,nan,nan,No (Not Latino or Hispanic),1962.0,Refused,Refused,Refused,Refused,I met [Partner Name] in [answer in Q15A7_2],2.0,Never married,I am sexually attracted only to men,nan,No,1985,Refused,1985,Refused,nan,nan,nan,nan,Refused,Refused,Q21B_2,nan,nan,heterosexual or straight,nan,nan,Refused,Different High School,nan,No,No,Yes,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Leans Democrat,Yes,Yes,At least once a week but not every day,Yes,Once a year or less,57,55-64,45-59,9th grade,Less than high school,"Black, Non-Hispanic",Female,Yes,4,A one-family house detached from any other house,"$15,000 to $19,999",Never married,Metro,South,West-South Central,Rented for cash,0,0,0,1,3,Working - as a paid employee,No,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),Black or African American,55.0,Refused,Refused,Refused,Refused,United States,United States,I met [Partner Name] in [Answer in Q15A6],2.0,0.0,sexually attracted only to opposite gender,nan,No,1985.0,February,yes,1985.0,April,1.0,,nan,,,nan,,nan,,nan,heterosexual or straight,nan,,Refused,81.0,Different High School,,No,No,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.5994833,"unpartnered, has had past partner",1,1985125,1985.2916,25.0,0.16662598,,,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,81.0,2.0,no,yes,no,no,Black or African American,no,,,,9.0
2460,2981,2337561,Qualified,,,1.2399,,,0.3842212,26669.0,314,Completed survey in over 2 minutes,LGB sample,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,"Yes, we were a same-sex couple",No (Not Latino or Hispanic),1990.0,Masters degree,Masters degree,Leans Democrat,Associate degree,I met [Partner Name] in [answer in Q15A7_2],0.0,Never married,nan,I am sexually attracted only to men,No,2017,May,2017,May,nan,nan,nan,nan,2017,July,Q21B_2,nan,nan,gay,All or most of them,18,We earned about the same amount,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"Yes, an app on my phone (like Tinder or Grindr)","Yes, I have met at least one person for dating, romance, or sex in the past year.","Two to Five people. I met between two and five different people in the past year for dating, romance, or sex.","Yes, I have used a phone dating app in the past year to meet someone in person for dating, romance, or sex","Two to Five people. Using phone apps, I met between two and five different people besides [Partner Name] in person in t",Leans Republican,Yes,Yes,Every day,Not asked,Never,27,25-34,18-29,Bachelors degree,Bachelor's degree or higher,Hispanic,Male,Yes,5,A one-family house attached to one or more houses,"$35,000 to $39,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,5,Not working - looking for work,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,same_sex_couple,gay male couple,[Partner Name] is Male,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),White,27.0,Masters degree,Masters degree,Leans Democrat,Associate degree,"Another country, please specify",United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to same gender,nan,No,2017.0,May,no,2017.0,May,0.0,,nan,,,nan,2017.0,July,,nan,gay,All or most of them,18.0,We earned about the same amount,9.0,Different High School,2.0,No,No,no,no,no,yes,"Yes, an app on my phone (like Tinder or Grindr)",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",2.0,"Yes, I have used a phone dating app in the past year to meet someone in person for dating, romance, or sex",3.5,yes,no,,3.5,0.5406633,"unpartnered, has had past partner",0,2017375,2017375,27.0,0.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,9.0,1.0,no,no,no,no,White,no,17.0,14.0,17.0,16.0
2470,2992,2947197,Qualified,0.9338,73152.0,,0.9284,72729.0,1.0497948,72866.0,15,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,nan,No (Not Latino or Hispanic),1961.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],1.0,Once,"I am mostly sexually attracted to men, less often sexually attracted to women",nan,No,2016,January,2016,July,nan,nan,nan,nan,2017,January,Q21B_2,nan,nan,heterosexual or straight,nan,nan,[Partner Name] was not working for pay,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet","Yes, I have met at least one person for dating, romance, or sex in the past year.","One person. I met only one person in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",nan,Leans Democrat,Yes,No,Not asked,Yes,A few times a year,59,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,1,A building with 2 or more apartments,"$15,000 to $19,999",Divorced,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Not working - disabled,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,56.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,1.0,"sexually attracted mostly to opposite gender, sometimes same gender",nan,No,2016.0,January,no,2016.0,July,0.0,,nan,,,nan,2017.0,January,,nan,heterosexual or straight,nan,,[Partner Name] was not working for pay,58.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","No, I have not met anyone for dating, romance, or sex in the past year",1.0,nan,1.0,yes,no,,0.0,1.0279387,"unpartnered, has had past partner",1,2016.0416,2016.5416,58.0,0.5,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,58.0,0.0,no,no,no,no,White,no,12.0,12.0,12.0,12.0
2477,2999,1842787,Qualified,1.8592,145645.0,,1.8486,144815.0,2.0903175,145089.0,7,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,nan,No (Not Latino or Hispanic),Refused,10th grade,10th grade,Strong Democrat,10th grade,I met [Partner Name] in [answer in Q15A7_2],3.0,Never married,nan,I am sexually attracted only to women,No,2008,March,2008,April,nan,nan,nan,nan,2008,December,Q21B_2,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,Same High School,nan,Yes,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Democrat,Yes,No,At least once a week but not every day,No,Never,23,18-24,18-29,10th grade,Less than high school,"Black, Non-Hispanic",Male,No,12,A building with 2 or more apartments,"$25,000 to $29,999",Never married,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,12,Not working - looking for work,No,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),Black or African American,,10th grade,10th grade,Strong Democrat,10th grade,United States,United States,I met [Partner Name] in [Answer in Q15A6],3.0,0.0,sexually attracted only to opposite gender,nan,No,2008.0,March,no,2008.0,April,0.0,,nan,,,nan,2008.0,December,,nan,heterosexual or straight,nan,,We earned about the same amount,0.0,Same High School,,Yes,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,2.0467982,"unpartnered, has had past partner",0,2008.2084,2008.2916,14.0,0.08325195,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,no,0.0,,nan,nan,nan,nan,Black or African American,no,10.0,10.0,10.0,10.0
2483,3006,850717,Qualified,1.0098,79105.0,,1004,78651.0,1.13528,78800.0,6,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,I wanted to break up more,nan,nan,nan,No (Not Latino or Hispanic),1990.0,HS graduate or GED,HS graduate or GED,Not Strong Republican,Bachelors degree,I met [Partner Name] in [answer in Q15A7_2],4.0,Never married,I am sexually attracted only to men,nan,No,2011,April,2011,April,nan,nan,nan,nan,2013,September,Q21B_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,nan,Yes,No,Yes,No,No,No,No,"Yes, a social networking site (like Facebook or Myspace)","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Leans Republican,Yes,Yes,Every day,Yes,Once a week,24,18-24,18-29,"Some college, no degree",Some college,"White, Non-Hispanic",Female,No,4,A one-family house detached from any other house,"$200,000 to $249,999",Never married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,27.0,HS graduate or GED,HS graduate or GED,Not Strong Republican,Bachelors degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],4.0,0.0,sexually attracted only to opposite gender,nan,No,2011.0,April,no,2011.0,April,0.0,,nan,,,nan,2013.0,September,,nan,heterosexual or straight,nan,,I earned more,14.0,Different High School,,Yes,No,yes,no,no,no,"Yes, a social networking site (like Facebook or Myspace)",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.1116441,"unpartnered, has had past partner",1,2011.2916,2011.2916,18.0,0.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,14.0,1.0,no,no,no,no,White,no,12.0,16.0,12.0,13.0
2485,3008,2076395,Qualified,1.4906,116770.0,,1482,116096.0,1.6757818,116316.0,3001,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,I wanted to break up more,nan,nan,nan,No (Not Latino or Hispanic),1994.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,"Some college, no degree",I met [Partner Name] in [answer in Q15A7_2],1.0,Never married,"I am mostly sexually attracted to men, less often sexually attracted to women",nan,Yes,2015,May,2015,October,2015,October,nan,nan,2016,March,Q21C_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,nan,No,No,No,No,No,Yes,No,"Yes, an app on my phone (like Tinder or Grindr)","Yes, I have met at least one person for dating, romance, or sex in the past year.","Six to Twenty people. I met between six and twenty different people  in the past year for dating, romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",nan,Not Strong Democrat,Not asked,Yes,Every day,Not asked,Never,33,25-34,30-44,"Some college, no degree",Some college,Hispanic,Female,Yes,4,A building with 2 or more apartments,"$15,000 to $19,999",Never married,Metro,South,South Atlantic,Occupied without payment of cash rent,0,0,2,1,1,Working - as a paid employee,No,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),Black or African American,23.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,"Some college, no degree",United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,0.0,"sexually attracted mostly to opposite gender, sometimes same gender",nan,Yes,2015.0,May,no,2015.0,October,0.0,2015.0,October,,,nan,2016.0,March,,nan,heterosexual or straight,nan,,I earned more,430.0,Different High School,,No,No,no,no,no,yes,"Yes, an app on my phone (like Tinder or Grindr)",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.",3.0,1.0,nan,13.0,yes,no,,0.0,1.6408931,"unpartnered, has had past partner",1,2015375,2015.7916,31.0,0.41662598,2015.7916,0.0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,430.0,2.0,no,yes,no,no,Black or African American,no,12.0,13.0,12.0,13.0
2486,3009,2848669,Qualified,0.9027,70715.0,,0.8975,70308.0,1.0148544,70441.0,13,Completed survey in over 2 minutes,gen pop,Yes,2,Yes,nan,nan,divorce,I wanted the [divorce/separation] more.,nan,No (Not Latino or Hispanic),1962.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],2.0,Once,I am sexually attracted only to men,nan,Yes,1990,June,1998,June,1999,October,1998,September,2002,June,Q21D_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,nan,No,No,Yes,No,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Leans Democrat,Yes,Yes,Every day,Yes,Never,54,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,1,A building with 2 or more apartments,"$7,500 to $9,999",Divorced,Non-Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,1,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,55.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],2.0,1.0,sexually attracted only to opposite gender,nan,Yes,1990.0,June,no,1998.0,June,0.0,1999.0,October,,1998.0,September,2002.0,June,,nan,heterosexual or straight,nan,,I earned more,45.0,Different High School,,No,No,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.9937257,"unpartnered, has had past partner",1,1990.4584,1998.4584,27.0,8.0,1999.7916,1.333252,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,45.0,2.0,no,no,no,no,White,no,12.0,12.0,12.0,13.0
2487,3010,1756345,Qualified,1.3387,104870.0,,1331,104267.0,1.5050375,104465.0,5,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,I wanted to break up more,nan,nan,nan,Refused,1995.0,HS graduate or GED,HS graduate or GED,Refused,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],Refused,Never married,nan,I am sexually attracted only to women,No,Refused,Refused,Refused,Refused,nan,nan,nan,nan,Refused,Refused,nan,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet","Yes, I have met at least one person for dating, romance, or sex in the past year.","One person. I met only one person in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",nan,Leans Democrat,Yes,Don't know/not sure,Less than once a month,Not asked,Once or twice a month,24,18-24,18-29,9th grade,Less than high school,"White, Non-Hispanic",Male,No,7,A building with 2 or more apartments,"$5,000 to $7,499",Never married,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,7,Working - as a paid employee,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,Refused,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,Refused,Refused,22.0,HS graduate or GED,HS graduate or GED,Refused,HS graduate or GED,Refused,United States,I met [Partner Name] in [Answer in Q15A6],,0.0,sexually attracted only to opposite gender,nan,No,,nan,nan,,nan,,,nan,,,nan,,nan,,nan,heterosexual or straight,nan,,We earned about the same amount,0.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",nan,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","No, I have not met anyone for dating, romance, or sex in the past year",1.0,nan,1.0,yes,no,,0.0,1.4737035,"unpartnered, has had past partner",0,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,no,0.0,,nan,nan,nan,nan,nan,nan,12.0,12.0,12.0,9.0
